systemNumber,accessionNumber,objectType,_currentLocation,_primaryTitle,_primaryMaker,_primaryImageId,_primaryDate,_primaryPlace,_warningTypes,_images
O1058061,PH.238-1903,Photograph,"{'id': 'THES49656', 'displayName': 'Prints & Drawings Study Room, level F', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'X', 'shelf': '292', 'box': 'P'}}","Palace of Queen Hortense, Paris, France","{'name': 'Atget, Jean-Eugène-Auguste', 'association': 'photographer'}",2008BV9231,c. 1900,Paris,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2008BV9231/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2008BV9231/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1058061/manifest.json', 'imageResolution': 'high'}"
O1058060,PH.242-1903,Photograph,"{'id': 'THES49656', 'displayName': 'Prints & Drawings Study Room, level F', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'X', 'shelf': '292', 'box': 'P'}}","Palais de L'Industrie, Paris, France","{'name': 'Atget, Jean-Eugène-Auguste', 'association': 'photographer'}",2008BV9221,c. 1900,Paris,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2008BV9221/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2008BV9221/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1058060/manifest.json', 'imageResolution': 'high'}"
O1058059,PH.246-1903,Photograph,"{'id': 'THES49656', 'displayName': 'Prints & Drawings Study Room, level F', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'X', 'shelf': '292', 'box': 'P'}}","Window, Pavillon de Chasse, Paris, France","{'name': 'Atget, Jean-Eugène-Auguste', 'association': 'photographer'}",2008BV9219,c. 1900,Paris,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2008BV9219/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2008BV9219/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1058059/manifest.json', 'imageResolution': 'high'}"
O1058058,PH.253-1903,Photograph,"{'id': 'THES49656', 'displayName': 'Prints & Drawings Study Room, level F', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'X', 'shelf': '292', 'box': 'P'}}","Palace of Queen Horteuse, Paris, France","{'name': 'Atget, Jean-Eugène-Auguste', 'association': 'photographer'}",2008BV9224,c. 1900,Paris,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2008BV9224/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2008BV9224/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1058058/manifest.json', 'imageResolution': 'high'}"
O1058057,PH.261-1903,Photograph,"{'id': 'THES49171', 'displayName': 'Prints & Drawings Study Room, level C', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'MB2H', 'shelf': 'DR1', 'box': ''}}","Doorway, Musee de Cluny, Paris, France","{'name': 'Atget, Jean-Eugène-Auguste', 'association': 'photographer'}",2008BV9227,c. 1900,Paris,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2008BV9227/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2008BV9227/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1058057/manifest.json', 'imageResolution': 'high'}"
O1058056,PH.262-1903,Photograph,"{'id': 'THES49656', 'displayName': 'Prints & Drawings Study Room, level F', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'X', 'shelf': '292', 'box': 'P'}}","Doorway, Musee de Cluny, Paris, France","{'name': 'Atget, Jean-Eugène-Auguste', 'association': 'photographer'}",2008BV9218,c. 1900,Paris,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2008BV9218/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2008BV9218/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1058056/manifest.json', 'imageResolution': 'high'}"
O1058055,PH.263-1903,Photograph,"{'id': 'THES49656', 'displayName': 'Prints & Drawings Study Room, level F', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'X', 'shelf': '292', 'box': 'P'}}","Doorway, Musee de Cluny, Paris, France","{'name': 'Atget, Jean-Eugène-Auguste', 'association': 'photographer'}",2008BV9228,c. 1900,Paris,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2008BV9228/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2008BV9228/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1058055/manifest.json', 'imageResolution': 'high'}"
O1058053,PH.265-1903,Photograph,"{'id': 'THES49656', 'displayName': 'Prints & Drawings Study Room, level F', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'X', 'shelf': '292', 'box': 'P'}}","Garden, Musee de Cluny, Paris, France","{'name': 'Atget, Jean-Eugène-Auguste', 'association': 'photographer'}",2008BV9239,c. 1900,Paris,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2008BV9239/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2008BV9239/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1058053/manifest.json', 'imageResolution': 'high'}"
O1058052,PH.338-1903,Photograph,"{'id': 'THES49656', 'displayName': 'Prints & Drawings Study Room, level F', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'X', 'shelf': '292', 'box': 'P'}}","Palais Bourbon, Paris, France","{'name': 'Atget, Jean-Eugène-Auguste', 'association': 'photographer'}",2008BV9229,c. 1900,Paris,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2008BV9229/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2008BV9229/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1058052/manifest.json', 'imageResolution': 'high'}"
O1058051,PH.340-1903,Photograph,"{'id': 'THES49656', 'displayName': 'Prints & Drawings Study Room, level F', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'X', 'shelf': '292', 'box': 'P'}}","Palais de Justice, Paris, France","{'name': 'Atget, Jean-Eugène-Auguste', 'association': 'photographer'}",2008BV9230,c. 1900,Paris,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2008BV9230/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2008BV9230/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1058051/manifest.json', 'imageResolution': 'high'}"
